,Local_Government_Area,Offence_Division,Incidents_Recorded
359,Pyrenees,F Other offences,66
360,Queenscliffe,A Crimes against the person,98
361,Queenscliffe,B Property and deception offences,868
362,Queenscliffe,C Drug offences,9
363,Queenscliffe,D Public order and security offences,53
364,Queenscliffe,E Justice procedures offences,47
365,Queenscliffe,F Other offences,13
366,South Gippsland,A Crimes against the person,2264
367,South Gippsland,B Property and deception offences,5317
368,South Gippsland,C Drug offences,402
369,South Gippsland,D Public order and security offences,625
370,South Gippsland,E Justice procedures offences,1528
371,South Gippsland,F Other offences,99
372,Southern Grampians,A Crimes against the person,1689
373,Southern Grampians,B Property and deception offences,4201
374,Southern Grampians,C Drug offences,618
375,Southern Grampians,D Public order and security offences,974
376,Southern Grampians,E Justice procedures offences,1302
377,Southern Grampians,F Other offences,123
378,Stonnington,A Crimes against the person,8288
379,Stonnington,B Property and deception offences,57842
380,Stonnington,C Drug offences,2972
381,Stonnington,D Public order and security offences,6036
382,Stonnington,E Justice procedures offences,3753
383,Stonnington,F Other offences,1124
384,Strathbogie,A Crimes against the person,878
385,Strathbogie,B Property and deception offences,2355
386,Strathbogie,C Drug offences,182
387,Strathbogie,D Public order and security offences,231
388,Strathbogie,E Justice procedures offences,377
389,Strathbogie,F Other offences,62
390,Surf Coast,A Crimes against the person,1342
391,Surf Coast,B Property and deception offences,7321
392,Surf Coast,C Drug offences,282
393,Surf Coast,D Public order and security offences,798
394,Surf Coast,E Justice procedures offences,603
395,Surf Coast,F Other offences,123
396,Swan Hill,A Crimes against the person,3567
397,Swan Hill,B Property and deception offences,7029
398,Swan Hill,C Drug offences,831
399,Swan Hill,D Public order and security offences,1728
400,Swan Hill,E Justice procedures offences,2987
401,Swan Hill,F Other offences,233
402,Towong,A Crimes against the person,391
403,Towong,B Property and deception offences,925
404,Towong,C Drug offences,56
405,Towong,D Public order and security offences,193
406,Towong,E Justice procedures offences,128
407,Towong,F Other offences,27
408,Wangaratta,A Crimes against the person,3269
409,Wangaratta,B Property and deception offences,7767
410,Wangaratta,C Drug offences,1198
411,Wangaratta,D Public order and security offences,2578
412,Wangaratta,E Justice procedures offences,2148
413,Wangaratta,F Other offences,211
414,Warrnambool,A Crimes against the person,4546
415,Warrnambool,B Property and deception offences,11092
416,Warrnambool,C Drug offences,1389
417,Warrnambool,D Public order and security offences,2189
418,Warrnambool,E Justice procedures offences,3300
419,Warrnambool,F Other offences,167
420,Wellington,A Crimes against the person,6351
421,Wellington,B Property and deception offences,15555
422,Wellington,C Drug offences,1039
423,Wellington,D Public order and security offences,2078
424,Wellington,E Justice procedures offences,4063
425,Wellington,F Other offences,211
426,West Wimmera,A Crimes against the person,287
427,West Wimmera,B Property and deception offences,594
428,West Wimmera,C Drug offences,113
429,West Wimmera,D Public order and security offences,85
430,West Wimmera,E Justice procedures offences,86
431,West Wimmera,F Other offences,15
432,Whitehorse,A Crimes against the person,7871
433,Whitehorse,B Property and deception offences,45482
434,Whitehorse,C Drug offences,1605
435,Whitehorse,D Public order and security offences,2271
436,Whitehorse,E Justice procedures offences,3804
437,Whitehorse,F Other offences,657
438,Whittlesea,A Crimes against the person,17563
439,Whittlesea,B Property and deception offences,74751
440,Whittlesea,C Drug offences,3952
441,Whittlesea,D Public order and security offences,3283
442,Whittlesea,E Justice procedures offences,8957
443,Whittlesea,F Other offences,1125
444,Wodonga,A Crimes against the person,4492
445,Wodonga,B Property and deception offences,14267
446,Wodonga,C Drug offences,1146
447,Wodonga,D Public order and security offences,1738
448,Wodonga,E Justice procedures offences,3018
449,Wodonga,F Other offences,293
450,Wyndham,A Crimes against the person,16372
451,Wyndham,B Property and deception offences,77205
452,Wyndham,C Drug offences,3430
453,Wyndham,D Public order and security offences,4528
454,Wyndham,E Justice procedures offences,10060
455,Wyndham,F Other offences,1511
456,Yarra,A Crimes against the person,10957
457,Yarra,B Property and deception offences,71650
458,Yarra,C Drug offences,4849
459,Yarra,D Public order and security offences,8183
460,Yarra,E Justice procedures offences,5732
461,Yarra,F Other offences,1405
462,Yarra Ranges,A Crimes against the person,9394
463,Yarra Ranges,B Property and deception offences,34400
464,Yarra Ranges,C Drug offences,2467
465,Yarra Ranges,D Public order and security offences,3262
466,Yarra Ranges,E Justice procedures offences,5646
467,Yarra Ranges,F Other offences,924
468,Yarriambiack,A Crimes against the person,780
469,Yarriambiack,B Property and deception offences,1514
470,Yarriambiack,C Drug offences,88
471,Yarriambiack,D Public order and security offences,232
472,Yarriambiack,E Justice procedures offences,297
473,Yarriambiack,F Other offences,50
